Code,Condition,Image id ,Subject's answer,Reaction time
D4UDVOAkkQ,5,14,school bus,4.253
fOnc49n4Jj,6,15,none,6.928
D4UDVOAkkQ,5,15,none,3.431
e86wLnLuMx,5,5,None,10.565
D4UDVOAkkQ,5,16,none,3.225
YF72HIZPAN,4,1,bear  ,3.079
fOnc49n4Jj,6,16,none,5.591
e86wLnLuMx,5,6,Whistle,4.825
D4UDVOAkkQ,5,17,none,3.559
YF72HIZPAN,4,2,squirrel,2.533
e86wLnLuMx,5,7,Shark,3.825
fOnc49n4Jj,6,17,ant,5
D4UDVOAkkQ,5,18,gorilla,3.686
e86wLnLuMx,5,8,Hourglass,4.984
D4UDVOAkkQ,5,19,none,3.075
fOnc49n4Jj,6,18,none,5.899
e86wLnLuMx,5,9,Duck,3.197
D4UDVOAkkQ,5,20,none,3.117
XFUMCNL82u,4,1,none  ,2.251
YF72HIZPAN,4,4,fox,2.044
D4UDVOAkkQ,5,21,woman,6.143
e86wLnLuMx,5,10,None,10.56
YF72HIZPAN,4,5,deer,2.866
XFUMCNL82u,4,2,squirrel ,6.862
fOnc49n4Jj,6,19,none,14.657
YF72HIZPAN,4,6,banana,2.5
e86wLnLuMx,5,11,Horse,3.602
XFUMCNL82u,4,3,none,2.259
D4UDVOAkkQ,5,22,mouse or chipmunk,9.656
XFUMCNL82u,4,4,fox,3.533
e86wLnLuMx,5,12,Tent,4.72
YF72HIZPAN,4,8,egg,2.369
fOnc49n4Jj,6,20,Tea cup,8.838
D4UDVOAkkQ,5,23,man,3.505
XFUMCNL82u,4,5,none,1.925
e86wLnLuMx,5,13,Mirror,4.466
D4UDVOAkkQ,5,24,clown,3.31
fOnc49n4Jj,6,21,none,4.951
YF72HIZPAN,4,10,rabbit,3.16
XFUMCNL82u,4,6,banana ,6.258
YF72HIZPAN,4,11,toilet,1.917
e86wLnLuMx,5,14,School Bus,5.59
XFUMCNL82u,4,7,none,1.626
D4UDVOAkkQ,5,25,chick,8.993
YF72HIZPAN,4,12,"sink
",3.512
XFUMCNL82u,4,8,none,1.887
e86wLnLuMx,5,15,Shark,3.981
D4UDVOAkkQ,5,26,racoon,5.28
XFUMCNL82u,4,9,bridge,4.108
e86wLnLuMx,5,16,Radiator,4.818
YF72HIZPAN,4,13,phone,2.216
XFUMCNL82u,4,10,none,1.351
D4UDVOAkkQ,5,27,none,2.989
YF72HIZPAN,4,14,bird,2.711
fOnc49n4Jj,6,22,Zeebra,11.983
D4UDVOAkkQ,5,28,none,3.015
e86wLnLuMx,5,17,Lantern,5.951
YF72HIZPAN,4,15,snail,1.716
XFUMCNL82u,4,11,toilet,8.407
