,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,
JsA6x79ZLu,lipstick  ,2,spider,2,bear,2,clock,2,zebra,1,baby crib,1,carriage,2,fan,2,"tiger, palm",2,bus,1,none,0,"speedometer, dashboard",1,fruit,2,"dog, elephant",3,footprint,1,ocean waves,0,"sink, bottle",1,"butterfly, grass",1,"boat, water",2,cactus,0,piano,2,"zebra, grass",2,"gun, rope",3,"violin, sunflower",3,"bananas, scuba diver",3,airplanes,2,kayaker,1,cello player,2,watches,2,dog ear,2
B1LernC17d,lipstick  ,2,spider,2,orangutan,2,watch,2,zebra,1,bench,1,stage coach,2,fan,2,tiger,2,bus,1,sheep,2,speedometer ,1,fruit,2,baby elephant,2,sandals,1,pelican,2,orange soda,1,butterfly,1,boat,2,small pot,2,piano,2,zebra,2,gun,2,flower,2,scuba diver,1,monkey,1,kayaker,1,violinist ,2,watches,2,wolf,2
s4Pwmjg4fc,lipstick  ,2,spider,2,gorilla,2,watch,2,zebra,1,bowl,2,horse & carrige,2,fan,2,tiger,2,phone booth,0,bull,2,speedometer,1,watermelon cantelop,2,elephant,2,sandals,1,lobster,2,pop drink,1,butterfly,1,none,0,bowl of jello,2,piano,2,zebra,2,gun revolver,2,daisy,2,scuba diver,1,walrus,0,boy in a canoe ,1,woman playing a chello,2,3 watches,2,cup of tea,1
JX6mXZBVPp,3 children  ,0,spider,2,lock,1,camera,2,zebra,1,chair,1,bike,2,fan,2,tiger,2,a person by the street,0,dog,2,lock,1,eggs,2,elephant with husks,2,shoes,1,"bird in water, swan maybe ",2,"bottle of drink, orange",1,butterfly,1,boat in water,2,cup,2,piano,2,zebra,2,gun with jewelry ,3,flower,2,person underwater,1,airplane,2,boat on water,1,violin or guitar,2,watch,2,dog,2
Ziq2I2Zngx,"lipstick
  ",2,spider,2,monkey,2,face,1,zebra,1,bench,1,floor,0,fan,2,tiger,2,bus,1,koala,2,meter,1,eggs,2,elephant,2,shoes,1,duck,2,bottle,1,butterfly,1,basketball hoop,0,bucket,2,toaster,1,zebra,2,gun,2,flower,2,scuba diver,1,airplane,2,water,0,violen,2,watch,2,plate,1
llzcDDrXab,  none,0,none,0,none,0,none,0,zebra,1,none,0,none,0,none,0,tiger,2,bus,1,none,0,clock,1,balls,2,elephant,2,shoes,1,none,0,none,0,none,0,none,0,none,0,printer,0,zebra,2,none,0,flower,2,none,0,none,0,none,0,musician,2,none,0,none,0
cTf4la8gVs,  Lipstick,2,Tarantula,2,Lock,1,Clock,2,Zebra,1,Chair,1,Bicycle,2,Fan,2,Tiger,2,Bus,1,Dog,2,Speedometer,1,Eggs,2,Elephant,2,Sandals,1,Crane,2,Bottle,1,"Butterfly
",1,Boat,2,Cup,2,Toaster,1,Zebra,2,Gun,2,Flowers,2,Woman,1,Chick,0,Boat,1,Cello,2,Watch,2,Cup,1
sDDDfadoVQ,  NATURE,0,NONE,0,MONKEY,2,NONE,0,ZEEBRA,1,"NONE
",0,NONE,0,NONE,0,TIGER,2,BUILDING,0,MONKEY,2,WALL CLOCK,1,NONE,0,NONE,0,"NONE
",0,NONE,0,NONE,0,BUTTERFLY,1,NONE,0,NONE,0,NONE,0,ZEEBRA,2,NONE,0,FLOWER,2,NONE,0,NONE,0,NONE,0,GUITAR,2,WATCH,2,NONE,0
JE269JxLCz,lipstick  ,2,spider,2,monkey,2,statue,0,an animal,1,chair,1,none,0,fan,2,tiger,2,bus,1,monkey,2,speed odometer,1,fruit in a bowl,2,monkey,0,a bug,2,a bird,2,a bottle,1,a butterfly,1,butterfly,0,a cup or a flowerpot,2,none,0,zebra,2,none,0,flowers,2,none,0,baby bird,0,a person; some water,1,a man and a violin,2,three watches,2,none,0
QOZjnImJP7,  AN ANIMAL OPEN MOUTH,1,SPIDER,2,"MONKEY, CLOCK",3,GIRL WITH HAT WITH CLOCK,3,ZEBRA,1,CHAIR,1,ROOM,0,TABLE FAN,2,TIGER,2,BUS,1,GOAT,2,CLOCK,1,LEMON,2,ELEPHANT,2,FACE,0,"WATER, DUCK",2,DRINK,1,BUTTERFLY,1,"WATER, BOAT",2,VESSEL,2,CANT SAY,0,ZEBRA,2,GUN,2,"FLOWER, VIOLIN",3,CANT SAY,0,MONKEY,1,"SAILOR, WATER",1,VIOLIN,2,WATCHES,2,CANT SAY,0
aNnBYSyarx,bullets  ,0,spider,2,bear,2,watch,2,zebra,1,chair,1,window,2,sphere,2,tiger,2,bus,1,koala bear,2,speedometer,1,lemons,2,elephant,2,sandals,1,pelican,2,soda bottle,1,butterfly,1,boat,2,pail,1,buckle,0,zebra,2,chain,1,flower daisy,2,,0,spider,0,boat,1,someone playing cello,2,watches,2,leaf,0
zpaKr1qZ0O,lipstick  ,2,spider,2,monkey,2,female,1,zebra,1,bench,1,none,0,fan,2,tiger,2,bus,1,dog,2,clock,1,lemon,2,dog,1,sandals,1,water,0,bottle,1,butterfly,1,person,2,cup,2,toaster,1,zebra,2,gun,2,flower,2,man,1,animal,1,person with oar,0,musical instrument,2,watches,2,cup,1
tQqH2vS4GM,  lipstick,2,spider,2,gorilla,2,stopwatch,2,zebra,1,bench,1,stagecoach,2,fan,2,tiger,2,bus,1,none,0,speedometer,1,eggs,2,elephant,2,sandals,1,boat,0,bottle,1,butterfly,1,boat,2,bucket,2,pencil sharpener,0,zebra,2,gun,2,flowers,2,scuba diver,1,plane,2,kayaker,1,violin,2,watches,2,sunnyside-up eggs,1
rui3TNhjPt,None  ,0,spider,2,gorilla,2,female face,1,zebra,1,chair,1,None,0,fan,2,tiger,2,bus,1,None,0,speedometer,1,lemon,2,elephant,2,None,0,None,0,bottle,1,butterfly,1,canoe,2,None,0,None,0,zebra,2,gun,2,violin,1,none,0,None,0,none,0,cello,2,wristwatch,2,None,0
