,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,
Gy6TaSbV8m,  Ram,2,Squirrel,2,Rabbit,0,Fox,2,Elk,2,Banana,2,Apple,2,None,0,Bridge,2,Painting,2,Toilet,2,None,0,None,0,None,0,Snail,2,Hot air Balloon ,2,None,0,Barrel ,2,Bike,2,Cat,2,Rooster ,2,Snail,2,monkey,2,Sink,2,Frog,2,None,0,None,0,None,0,Corn,2,Lion,2
vQIBsb3md7,"A goat
  ",2,a squirrel,2,n/a,0,fox,0,n/a,0,banana,2,apple,2,n/a,0,bridge,2,painting,2,toilet,2,bowl,,tv ,2,n/a,0,shell,2,balloon,2,n/a,0,barrel,2,bike,2,lion,2,rooster,2,shell,2,owl,2,deer,0,frog,2,flower,0,train tracks,2,child,0,n/a,0,lion,2
Sf3NiTXJSK,dog  ,,squirrel,2,none,0,none,0,none,0,banana,2,donut,0,none,0,jeans,0,painting,2,toilet,2,none,0,telephone,2,eye,2,light,0,hot air balloon,2,none,0,can,2,bicycle,2,whiskers,2,rooster,2,none,0,owl,2,none,0,monkey,0,none,0,fox,0,none,0,corn,2,lion,2
HGFUIeHgYI,bear  ,1,squirrel ,2,curtain,0,fox,2,rock,0,banana,2,apple,2,none,0,bridge,2,building,0,toilet,2,toilet,,telephone,2,none,0,shell,2,hot air balloon,2,plane,0,barrel ,2,bicycle,2,cat,2,rooster,2,shell,2,owl,2,sink,2,frog,2,tomato,0,car,2,toilet,2,corn,2,lion,2
bXEtETU6Qt,  CAT,,NATURE,0,ARCHITECTURE,0,DOG,2,CAT,0,WALL,0,MONKEY,0,STONE,0,NATURE,0,FALLS,0,NUMBER,0,DESIGNS,,ARCHIITECTURE,0,ARCHITECTURE,0,DESIGN,0,BALOON,2,NATURE,0,BOTTLE,0,CYCLE,2,NATURE,0,CAT,0,DOG,0,MONKEY,2,CAT,0,NATURE,0,FLOWER,0,CAT,0,NATURE,0,DOG,0,MONKEY,0
k2CpdQBSGL,sloth  ,,squirrel,2,boat,2,bunny,2,horns,2,banana,2,apple,2,bowl,0,,,"snail, painting",2,"toilet, toilet paper",2,"computer, desk",2,phone,2,laptop,0,shell,2,hot air balloon,2,,,barrel,2,bicycle,2,cheetah,2,"rooster
",2,snail,2,owl,2,sink,2,slug,0,,,cat,0,,,,,lion,2
5x6sdj23ig,Lamb  ,2,squirrel,2,leaf,2,rabbit,2,Bird,0,banana,2,None,0,none,0,bridge,2,owl,2,skull,0,gun,,robot,2,none,0,snail,2,hot air balloon,2,none,0,light bulb,0,bicycle,2,cat,2,Rooster,2,Snail,2,monkey,2,none,0,frog,2,tree,0,none,0,none,0,none,0,none,0
mYbqqeWFXJ,  mountain goat,2,squirrel,2,sailboat,2,fox,2,deer,2,banana,2,apple,2,moon,2,bridge,2,duck,2,toilet,2,keys,,telephone,2,eagle,2,snail,2,hot air balloon,2,shells,0,wooden barrel,2,bicycle,2,cheetah,2,rooster,2,snail,2,owl,2,sink,2,frog,2,chicken,0,race car,2,eye,0,corn,2,lion,2
7nKhz0ORz4,  bear,1,squirrel,2,graphics,0,fox,2,bird,2,sparrow,0,insects,0,moon,2,snake,0,painting,2,painting,0,painting,,cells,0,painting,0,none,0,parachute,2,none,0,drums,0,bicycle,2,none,0,cock,2,painting,0,eagle,2,snail,0,frog,2,painting,0,drawing,0,monkey,0,painting,0,lion,2
CQdNXVgXFu,sheep  ,2,squirrel,2,boat,2,fox,2,spider,0,banana,2,apple,2,bubble,0,golden gate bridge,2,tribal art,2,toilet,2,,,phone,2,laptop,0,seashell,2,hot air balloon,2,butterfly,2,barrel,2,bicycle,2,cat,2,rooster,2,seashell,2,woman,0,sink,2,frog,2,,,car,2,toilet,2,corn,2,lion,2
OReP2CYDiF,  animal,,squirrel,2,boat,2,fox,2,none,0,banana,2,none,0,none,0,none,0,owl,2,toilet,2,none,0,telephone,2,eagle,2,none,0,hot air balloon,2,none,0,barrel,2,bicycle,2,cat,2,rooster,2,none,0,none,0,sink,2,frog,2,none,0,none,0,none,0,none,0,lion,2
