,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,
8MWM8co0OB,bird  ,1,boy eating a popcicle,1,"flamingo and umbrella
",3,statue and a violin,3,type writer,2,fan,1,motorcycle,1,piano,1,duck,2,none,0,pot,1,rooster,1,bench,1,school bus,2,none,0,fence and a bear.,3,football player,1,monkey,2,fly,1,car,1,swing set,2,car,1,rooster,1,none,0,cup,1,monkey,2,none,0,ship,2,bug,1,car,2
TqaozuFzTV,  cat,1,boy,1,parachute,1,statue,1,typewriter,2,none,0,none,0,piano,1,duck,2,none,0,pitcher,1,rooster,1,none,0,bus,2,purse,1,bear,1,football player,1,monkey,2,fly,1,truck,1,swing set,2,car,1,rooster,1,none,0,none,0,monkey,2,hut,2,dress,1,bug,1,car,2
eeC19odbnI,None  ,0,person,1,None,0,statue,1,piano,1,fan,1,none,0,none,0,duck,2,none,0,none,0,none,0,bench,1,bus,2,"none
",0,none,0,none,0,none,0,bug,1,car,1,none,0,none,0,chicken,1,none,0,none,0,none,0,none,0,dress,1,bike,0,none,0
0WFotFOd2y,  Owl,1,truck,2,crab,1,statue,1,typewriter ,2,fan,1,wheels,1,piano,1,duck,2,cloth,0,pottery,1,trees,2,wood table,1,school bus,2,spotted dog,2,bear,1,football player,1,string,1,winged insect,1,classic car,1,swing set,2,car with headlights on,1,chicken,1,soccer ball,0,yellow clay,0,small mammal ,2,straw roof hut,2,iceberg,0,insect,1,car,2
KwwUzXRg1O,none  ,0,boy,1,crab,1,Statue,1,type writer,2,table fan,1,duck,2,none,0,swan,2,parrot,0,coffe cup,1,cock,1,bench,1,bus,2,cat,2,bear,1,rugby player,1,none,0,squrel,2,Car,1,park,0,mouse,2,cock,1,none,0,leaves,2,cat,2,none,0,skirt,1,bench,0,car,2
iZkdyc4mHh,Dog  ,1,boy,1,parachute,1,tower,1,type writing mechin,2,fan,1,bike,1,piano,1,duck,2,snake,0,cup,1,fox,0,table,1,bus,2,dog,2,bear,1,sports man,1,tiger,2,ant,1,car,1,lader,2,car,1,cock,1,not shown,0,cup,1,cat,2,dog,0,dress,1,ant,1,car,2
I6bpyEcbls,Bird  ,1,Boy eating something,1,Flamingo,2,statue of liberty,1,typewritter,2,fan,1,snail,2,piano,1,duck,2,shirt,0,pitcher,1,chicken,1,park bench,1,school bus,2,dog,2,bear,1,football player,1,none,0,beetle or ant,1,truck,1,swingset,2,car,1,chicken,1,tractor,0,teacup,1,raccoon ,2,none,0,dress,1,ant,1,"mustang, looked like a 1964",2
6gsoFURFdE,  clock,2,none,0,spider,1,statue of liberty,1,typewriter,2,fan,1,none,0,none,0,none,0,tea cup,0,none,0,none,0,none,0,school bus,2,none,0,none,0,helmet,1,none,0,fly,1,car,1,swing,2,car,1,none,0,none,0,none,0,none,0,none,0,dress,1,none,0,none,0
gMDssVzT2K,  clock,2,kid,1,jellyfish,1,statue,1,typewriter,2,fan,1,person,0,wine glass,2,duck,2,iron,2,mug,1,rooster,1,bench,1,bus,2,purse,1,bear,1,football player,1,squirrel,2,bug,1,red car,1,swing set,2,white car,1,rooster,1,soccer ball,2,egg yolk,1,raccoon,2,pile of hay,2,dress,1,watch,0,car,2
nCfMhvFWdn,  bird,1,child,1,flamingo,2,statue of liberty,1,keyboard,1,fan,1,bird,2,piano,1,duck,2,I did not recognize.,0,bag,0,chicken,1,bench,1,bus,2,purse,1,bear,1,football player,1,rope,0,beetle,1,old truck,1,swing set and child,3,car,1,rooster and a bell,3,broccoli,1,tea,1,cat,2,did not recognize,0,sail boat,2,ant,1,car,2
i45xMKu87c,clock or building  ,2,boy,1,ball,0,statue,1,piano,1,plates,0,none,0,train,0,duck,2,none,0,none,0,cock,1,stone bench,1,bus,2,bag,1,art,0,net,0,animal,2,insect,1,car,1,swing,2,dog,2,cock,1,ball and basket,2,butter,0,rabbit,2,mountain,0,dress,1,spider,1,park,0
4YMcguJoNd,CLock  ,2,Child (Boy),1,,0,Statue,1,Typewriter,2,Fan,1,,0,Piano,1,Duck,2,"Not sure, blue and white.",0,Jar,1,Forest,2,Chair,1,School bus,2,,0,bear,1,"Helmet, man",1,"an animal, maybe a squirrell",2,An insect,1,Old car,1,Playground,2,Car,1,Chicken,1,,0,Something yellow,0,An animal,2,,0,Beach and a dress,1,Helicopter,2,Old car,2
Nw0yYwmId8,Bird  ,1,Boy,1,Bird,2,none,0,none,0,Fan,1,none,0,Piano,1,Fan,0,none,0,none,0,Bird,1,Chair,1,Bus,2,none,0,none,0,none,0,Monkey,2,Insect,1,Car,1,none,0,Car,1,Hen,1,none,0,Coffee,1,none,0,none,0,Dress,1,Insect,1,Car,2
sy4pW1JB6x,  plus,0,babe,1,parachute,1,building,1,keyboard,1,wheel,0,motor cycle,1,none,0,duck,2,snake,0,mug,1,cock,1,bench,1,bus,2,purse,1,bear,1,none,0,none,0,pest,1,car,1,none,0,car,1,cock,1,ball,2,none,0,cat,2,none,0,frock,1,pest,1,car,2
IjHWO1dEX9,  Clock,2,Boy car,3,Parachute,1,Building,1,None,0,Paper,0,None,0,None,0,Duck,2,Blue,0,Mug,1,Rooster,1,Tennis,0,None,0,None,0,None,0,None,0,None,0,Ant,1,None,0,Swing,2,Car,1,None,0,No ne,0,Grapefruit,2,Cat,2,Hut,2,None,0,Plane,2,Car,2
tgLcAhoT5g,  bird,1,boy,1,squid,0,church,1,typewriter,2,fan,1,ice cream,0,drink,2,duck,2,none,0,pitcher,1,rooster,1,none,0,school bus,2,cow,2,animal,1,football player,1,bug,2,insect,1,truck,1,swing set,2,car,1,rooster,1,none,0,none,0,cat,2,animal,0,dress,1,spider,1,car,2
c08B826IDK,  chicken,1,boy,1,balloon,1,statue of liberty,1,none,0,snail,0,motorcycle,1,none,0,duck,2,none,0,mug,1,rooster,1,bench,1,"schoolbus
",2,none,0,fence,2,tombstone,0,none,0,insect,1,truck,1,none,0,car,1,none,0,none,0,bowl,1,none,0,none,0,whale,0,bug,1,car,2
BDq3AS64JO,  bird,1,boy,1,crab,1,statue,1,typewriter,2,fan,1,lobster,2,piano,1,duck,2,none,0,bag,0,rooster,1,picture frame,2,school bus,2,dog,2,bear,1,football helmet,1,turtle,2,beetle,1,truck,1,swing set,2,car,1,chicken,1,soccer ball,2,coffee cup,1,kangaroo,2,beaver,0,dress,1,beetle,1,car,2
YHnHEQJjeJ,  none,0,none,0,parrot,2,statue,1,none,0,fan,1,none,0,none,0,stone,0,cloth,0,none,0,fern,2,toast ,0,house ,0,none,0,metal fence,2,grass,2,dog,0,bud,0,car,1,cow,0,none,0,rooster,1,button,0,jar,1,cat,2,none,0,skirt,1,spoon,0,car,2
OIqEn1ZaT6,  bird,1,toddler with a toy in his mouth,1,flamingo,2,statue of liberty,1,typewriter,2,fan,1,fish,2,piano,1,duck,2,strap,0,purse,0,rooster,1,park bench with a painting on it,1,school bus,2,cat laying on something,2,animal laying in a patch of bamboo,3,football player adjusting his chinstrap,1,,0,bee/roach,1,old car,1,a parent by a swingset,2,old car,1,rooster,1,a farm?,0,a cup of liquid on a saucer and a spoon,1,a coiled up snake,2,a large green blob,1,a dress overlayed on an ocean?,1,a spider crawling on a pencil,3,a gray slat?,1
ulTk7aAgub,Owl  ,1,Young boy with a Popsicle.,1,Flamingo,2,A statue of some sort,1,Typewriter,2,A fan,1,A turtle underwater,2,A piano,1,A duck,2,None,0,A jug,1,A rooster,1,None,0,Schoolbus,2,None,0,Raccoon,1,Skull,0,None,0,A bug/beetle,1,A red car,1,A little boy,1,A white car,1,Rooster,1,A soccer ball,2,A cup of coffee,1,A lemur,2,None,0,A dress,1,A plane,2,A car,2
BcqnrbIKYx,  Dog,1,A small child,1,A flamingo,2,The statue of liberty. ,1,Typewriter,2,a desktop fan,1,A moped scooter,1,A grand piano ,1,A duck and washing machine,3,An iron,2,A coffee mug,1,A rooster,1,A park bench,1,A school bus,2,A dalmatian dog,2,A zebra,0,football player,1,A monkey,2,A bug,1,an old red truck,1,swing set,2,A white car,1,a rooster,1,a bug and fruit,1,A white rose,0,sandwich,1,top of someones head,0,The ocean,0,A bug,1,A white car,2
rSsCwpIqnt,  bird,1,child,1,bird,2,statue of liberty,1,typewriter,2,wheel,0,bird,2,piano,1,duck,2,saw,0,cup,1,rooster,1,bench,1,bus,2,hat,1,bear,1,football player,1,animal,2,insect,1,car,1,swings,2,car,1,rooster,1,toy,1,lemon,2,animal,2,house,2,boat,2,insect,1,car,2
nmDGjwdhea,"robin, grandfather clock  ",3,"boy eating something, train in a field",3,flamingo and either a hot air balloon or a parachuter,3,white house and statue of liberty,1,typewriter and piano,3,fan and something else,1,motorcycle and shark?,3,grand piano,1,duck and washing machine,3,iron and fishing line,2,mug and dog,3,rooster and shack,3,bench and window,3,school bus,2,purse and leopard,3,fence and bear,3,football player and grass,3,squirrel and tree branch,2,alligator and beetle,3,old red car,1,kid and swingset,3,hedgehog and car,3,rooster and giant eyeball,3,none,0,mug and lemon slices,3,none,0,hut,2,dress and sailboat,3,ruler and beetle,3,fence and car,3
nhKa50npTW,painting  ,0,Boy,1,Painting,0,,0,Piano,1,Tire,0,Nothing,0,Car,0,Rim,0,Shoes,0,Nothing,0,Nothing,0,Bike,0,School bus,2,Nothing,0,Fence,2,Nothing,0,Nothing,0,Bike,0,Truck,1,Swing set,2,Car,1,School bus,0,Soccer ball,2,Tuba,1,Nothing,0,Nothing,0,Dress,1,Car,2,Car,2
PBk16OYoLR,cat  ,1,a boy,1,a crab,1,building,1,typewriter,2,fan,1,concrete slab,2,piano,1,duck,2,snake,0,coffee mug,1,rooster,1,park bench,1,stairs,0,cheetah,2,grizzly bear,1,football helmet,1,tree branches,2,cockroach,1,a red car,1,child in a park,3,white car,1,rooster,1,soccer ball,2,cut lemon,2,cat,2,animal fur,0,a robe,0,building,0,car,2
fpb7MLM9mJ,owl  ,1,child and a car,3,pink bird,2,building,1,piano,1,none,0,none,0,piano,1,duck,2,none,0,a lot of colors on a mug?,1,rooster,1,table,1,school bus,2,dog,2,grass,0,none,0,smoke,0,"bug with wings, maybe beetle",1,old truck,1,swing set,2,none,0,none,0,something orange,0,coffee mug,1,statue,2,none,0,shirt,1,metal object,2,truck,2
f1ve7hFsJg,  none,0,"boy, ice cream",1,parachute,1,statue of liberty,1,typewriter,2,fan,1,crab,2,piano,1,duck,2,blue frog,0,mug,1,rooster,1,park bench,1,school bus,2,purse,1,animal,1,football player,1,frog,2,insect,1,vintage car,1,swing set,2,car,1,rooster,1,soccer ball,2,yellow balls,2,cat,2,none,0,dress,1,insect,1,vintage car,2
E2cYhEGH9O,bird  ,1,little boy,1,Pelican,,bird,0,piano,1,wheel,0,snake,2,piano,1,duck,2,bird,0,mug,1,rooster,1,table,1,school bus,2,leopard,2,bear ,1,nest,0,none,0,insect,1,red car,1,swing set,2,car,1,chicken,1,soccer ball,2,egg,1,animal,2,furry animal,0,dress,1,spider,1,car,2
U6IRj91KzC,"bird
  ",1,child,1,"flamingo
",2,violin,2,piano,1,fan,1,motorcycle,1,piano,1,fish,2,iron,2,jug,1,chicken,1,window,2,bus,2,dog,2,fence,2,football player,1,snake,2,ant,1,truck,1,swing,2,car,1,rooster,1,brocolli,1,food,0,cat,2,melon,1,boat,2,spider,1,car,2
ZHXRN0TLd4,clock  ,2,a little blond boy,1,flamingo,2,violin painting,2,keyboard,1,old fan,1,fox?,2,piano,1,fan?,0,fan and towel,0,pitcher,1,rooster statue,1,patio decoration square,2,school bus,2,bird statue?,0,wolf,1,soldier with weapon,1,snake,2,cockroach,1,old red truck,1,boy on playground,3,70s car with paint,1,rooster from earlier,1,rooster again,0,lemon and tea cup,3,fox again,2,hedgehog?,0,dress and sailboat,3,?,0,old car from earlier,2
Xou9Mu4jm3,cat  ,1,boy,1,None,0,None,0,None,0,Tower,0,Man,0,None,0,Tiger,0,None,0,None,0,None,0,None,0,Npone,0,Tiger,2,None,0,None,0,None,0,None,0,None,0,None,0,car,1,None,0,deer,0,None,0,None,0,tree,0,None,0,None,0,None,0
R1pStMH9Mu,  Rat?,1,Boy drinking water,1,Parachute? Hot air balloon?,1,Statue of liberty,1,Typewriter,2,Fan,1,Man?,0,Piano and champaigne glass,3,Duck,2,Bird,0,Cup and snake,1,Rooster and house,3,Bench,1,School bus,2,Purse and white owl,3,Matches,2,Football player,1,Monkey and tree,2,Fly and tree,1,Car,1,Red car and man,3,Car and bat,3,Rooster and car,3,Soccer ball,2,Tea,1,Cat,2,Waterfall,0,Dress,1,Bug,1,Car,2
9rNMQEKnSf,  bird,1,child eating a popsicle,1,flamingo,2,building,1,typewriter,2,fan,1,porcelain bunny,2,piano,1,duck and a dryer,3,bag,0,cup and a pitcher,1,chicken,1,bench and a square,3,school bus,2,dalmation and sunglasses,2,bear and a fence,3,football player,1,nest and a Chinese dancer,0,ant,1,old truck,1,swingset,2,cat and a car,3,rooster and an outdoor pot,3,rooster,0,lemon and teacup,3,cat and raccoon,2,big pile of green hay,3,dress and a boat,3,spider and a plane,3,car and crosswalk,3
OvgOkJNoHQ,"  box

",2,person in nature,1,fish,2,statue,1,none,0,circle,0,picture ,0,brown,0,snail,0,blue and white ,0,n/a,0,nature and turkey ,3,book,0,school bus ,2,n/a,0,grass,0,n/a,0,animal,2,spider,1,car,1,swings,2,car,1,dog,1,ball,2,none,0,animal,2,animal,0,dress,1,spider ,1,car,2
J2Pb1ffPKk,  none,0,boy,1,spider,0,building,1,typewriter,2,wheel,0,aligator,2,piano,1,duck,2,purse,0,purse,0,clothes,2,shirt,0,school bus,2,school bus,0,coat,0,coat,0,snake,2,snake,0,snake,0,old truck,0,swing set,0,white car,0,rooster,0,carrot,0,carrot,0,hair,0,top of someone head,0,top of someone head,0,spider,0
IPSmg33pqo,Dog  ,1,Car,2,Bulldog,0,Deer,0,Pizza,0,Car tire,0,Dog,2,Piano,1,Bulldog,0,Car,0,Bulldog,2,Trees,2,Bench,1,School bus,2,Dalmation,2,Fern,0,None,0,Bulldog,2,Bug,1,Old car,1,None,0,Car,1,Rooster,1,None,0,Cow,0,None,0,Cow,0,Person,0,Car,2,Car,2
TV09zAwx62,bird  ,1,little boy sticking out his tongue.,1,Flamingo,2,Statue of Liberty,1,typewriter,2,electric fan,1,frog on tube in water,2,piano,1,mallard duck,2,baseball hat,0,coffee mug,1,black rooster,1,bench,1,yellow bus,2,none,0,bear behind a slat flence,3,person in a helmet,1,snake,2,black beetle bug,1,red truck,1,red swing set,2,old car,1,rooster,1,hose wrapped around spool,0,slices of lemon,3,racoon,2,stack of hay on top of giant watermelon,3,dress and apron,1,grey mosquito bug,1,old car,2
a2lZIzRgKN,  BIRD AND CLOCK,3,"KID EATING ICE CREAM, CAR",3,PARACHUTE AND FLAMINGO,3,STATUE OF LIBERTY,1,TYPE WRITER,2,METAL FAN,1,SQUID?,2,PIANO AND GLASS OF WINE,3,DUCK AND WASHING MACHINE,3,,0,COFFEE MUG,1,ROOSTER AND MAILBOX,3,BENCH AND PICTURE FRAME,3,SCHOOL BUS,2,BRACELET,0,BEAR,1,FOOTBALL PLAYER,1,MONKEY AND HAIR,2,BUG,1,OLD TRUCK,1,CHILD AND SWINGSET,3,mustang,1,rooster,1,,0,COFFEE MUG,1,,0,RACCOON?,0,DRESS,1,BUG,1,CAR AND PICKET FENCE,3
hm3SyOghDI,bird  ,1,person,1,bird,2,building,1,keyboard,1,clock,0,boat,1,piano,1,duck,2,lizard,0,bag,0,chicken,1,bench seat,1,school bus,2,purse,1,dont know,0,footballer with helmet,1,snake,2,bug,1,car,1,sheep,0,car,1,chicken,1,dont know,0,mouse,0,dont know,0,racoon,0,dress,1,bug,1,car,2
X843V4GMAN,none,0,child,1,flamingo,2,statue of liberty,1,piano,1,none,0,none,0,piano,1,duck,2,blanket,0,none,0,chicken,1,chair,1,school bus,2,none,0,none,0,helmet,1,none,0,bug,1,old car,1,swingset,2,car,1,rooster,1,none,0,none,0,none,0,none,0,dress,1,spider,1,car,2
vj0rbwf0eI,bird  ,1,boy,1,flamingo,2,statue of liberty,1,typewriter,2,fan,1,frog,2,piano,1,duck,2,none,0,pitcher,1,turkey,1,bench,1,bus,2,none,0,none,0,player,1,monkey,2,none,0,car,1,swing,2,car,1,turkey,1,soccer ball,2,lemon,2,animal,2,banana,0,boat,2,spider,1,car,2
6CBng0SUZl,  bird,1,CAR,2,DONT KNOW,0,BUILDING,1,"PIANO KEYBOARD
",1,DONT KNOW,0,DONT KNOW,0,PIANO AGAIN,1,DUCK,2,DONT KNOW,0,ABSTRACT IMAGE,0,TREE MAYBE,2,BENCH,1,BUS,2,CLOTHING,1,DONT KNOW,0,BIKER,1,DONT KNOW,0,INSECT,1,ANTIQUE CAR,1,SWING SET,2,CAR MAYBE ANTIQUE,1,ROOSTER,1,DONT KNOW,0,CUP OF COFFEE,1,DONT KNOW,0,DONT KNOW,0,DONT KNOW,0,WATCH,0,CAR MAYBE ANTIQUE,2
mKI3vMg11o,  Bird,1,boy eating a Popsicle ,1,flamingo,2,"red building, painting",0,old type writer with circle keys,2,fan,1,motorcycle,1,piano,1,outside,0,purse,0,coffee cup,1,eagle,1,bench,1,school bus,2,giraffe head,2,panda,1,grass,2,bird,0,"insect, bug",1,old red truck,1,red swing set,2,white car,1,turkey,1,"sports equipment, soccer",2,coffee in white coffee cup,1,snake,2,tiki hut,2,dress,1,"insect, bug",1,old mustang car,2
3aaOKemdQy,  bird,1,boy,1,flamingo,2,violin,2,typewritter,2,fan,1,none,0,piano,1,mallard duck,2,none,0,pitcher,1,rooster,1,square,2,school bus,2,animal head,2,none,0,none,0,none,0,bug,1,car,1,swings,2,car,1,rooster,1,none,0,none,0,none,0,none,0,dress,1,none,0,car,2
TXaDXrUk2K,dog  ,1,none,0,none,0,none,0,none,0,tiger,0,"none
",0,none,0,none,0,none,0,none,0,none,0,none,0,none,0,tiger,2,table,0,none,0,none,0,spider,1,none,,none,0,"none
",0,none,0,none,0,cat,0,none,0,none,0,none,0,none,0,none,0
uUXLhQE96c,none  ,0,child,1,parachute,1,statue of liberty,1,type writer,2,Table fan,1,scooter,1,piano,1,duck,2,none,0,none,0,hen,1,table,1,school bus,2,none,0,none,0,player,1,smoke,0,bug,1,car,1,girl,1,car,1,hen,1,football,2,none,0,rabbit,2,hut,2,gown,1,spider,1,car,2
m93FjiJsWA,  bird,1,popsickle,1,none,0,statue of liberty and government building.,1,typewriter,2,fan.,1,none,0,piano.,1,washing machine.,1,none.,0,none.,0,rooster statue.,1,bench.,1,school bus.,2,purse.,1,chair.,0,football helmet.,1,none.,0,leaf. ,0,red truck.,1,swing set.,2,white car.,1,none.,0,none.,0,coffee cup.,1,none.,0,none.,0,dress and sail boat.,3,ruler.,2,green car.,2
JGT5WFuQtp,bird  ,1,boy,1,bird,2,statue,1,typewriter,2,fan,1,none,0,piano,1,washer,1,towel,0,cow,2,chicken,1,bench,1,bus,2,none,0,bear,1,football player,1,hippo,2,bug,1,car,1,none,0,car,1,chicken,1,ball,2,cup,1,bat,2,chicken,0,none,0,bug,1,car,2
aYaH6bWgNH,  A brown bird,1,"a kid, a boy",1,a red and white parachute with wings,1,a statute on top of a building,1,an old typewriter,2,an electric fan,1,a sea turtle,2,an alien playing a piano,1,a duck in a clear dish,3,an elephant,1,a water picture colorfully tiled,0,a chicken looking west,1,a picnic table without any food on it,1,a school bus,2,a black spotted kitten,2,a raccoon behind an anirondack slatted chair,3,a football lineman,1,a mess of swirly hair,2,a beetle,1,a red pickup truck heading toward me,1,a swing set in a park,2,a mouse on a car,3,"a chicken, rhode island red, looking east",1,a soccer ball on a piece of watermellon,3,a cup of coffee with light cream in it,1,a cat,2,a large hut with a grass roof,2,a dress in front of a lake,1,a bug,1,a car,2
fwgUjc4IZv,  Was that a clock? It was way too fast for my brain to interpret.,2,a child boy,1,"pink flamingo, rainbow blimp",2,Statue of Liberty,1,typewriter,2,desk fan,1,ocean,0,piano,1,duck,2,Maril pokemon,1,vase,1,chicken,1,bench,1,school bus,2,rock,0,"racoon, fence",3,football player,1,rodent,2,insect,1,red truck,1,swing set,2,car,1,rooster,1,"broccoli, soccer ball",3,lemon,2,some type of animal,2,"whale, hut",2,sailboat,2,insect,1,car,2
IlbIzyy1nQ,None  ,0,A boy with a treat,1,Flamingo,2,Violin,2,Typewriter,2,A fan,1,Motorcycle,1,Piano,1,Duck,2,None,0,A mug?,1,"A chicken, a yard with a shed?",3,A bench,1,Schoolbus,2,Purse,1,"Matches, Bear",3,Football player in a helmet,1,Monkey on a branch,2,A fly,1,An old truck,1,Girl and a swing,3,A mouse and a car?,3,Chicken,1,Brocolli,1,Orange,2,a lemur,2,None,0,A dress and a boat,3,A spider ,1,A fence and a car,3
wjUAw0vngB,cat  ,1,boy,1,bird,2,none,0,none,0,key,0,none,0,keyboard,1,dog,0,jacket,0,owl,0,dog,0,table,1,bus,2,none,0,dog,1,baseball player,1,none,0,none,0,car,1,lion,0,car,1,dog,1,soccer,2,cat,0,dog,2,cat,0,dog,0,cockroach,1,car,2
F0cTl3wx11,squirrel  ,1,"truck, person",3,parachute,1,statue of liberty,1,keyboard,1,fan,1,motorbike,1,piano,1,duck,2,none,0,mug,1,rooster,1,bench,1,school bus,2,giraffe,2,animal,1,football player,1,none,0,beetle,1,truck,1,swing set,2,car,1,chicken,1,none,0,none,0,lemur,2,hut,2,sail boat,2,insect,1,car,2
PbSZ5QjvCP,  none,0,a young person or a child,1,an image like a bird,2,a semi-circular image,0,piano or organ,1,piano or organ,0,none,0,a rocky terrain,0,a human picture,0,a vessel,0,a multi-colored object,0,a big hen,1,none,0,a bus,2,none,0,a caged animal,3,an animal,0,none,0,none,1,a big red car,1,a big red car,0,a car,1,a cock,1,a cock,0,a metal object,0,ceramic cups,0,an animal,0,a garment,1,a gown,0,a car,2
5y04A0wySZ,JUST SAW GRAINY COLOR  ,0,BOY,1,FISH,0,STATUE,1,TYPEWRITTER,2,FAN,1,SHARK,2,GRAND PIANO,1,DUCK,2,IRON,2,CUP,1,CHICKEN,1,WHITE BOARDS,0,SCHOOL BUS,2,PURSE,1,MATCHES,2,GRASS,2,ANIMAL,2,BEETLE,1,OLD PICKUP,1,SWIN SET,2,CAR,1,ROOSTER,1,,0,LEMON,2,SOMETHIN YELLOW,0,,0,DRESS,1,SPIDER,1,CAR,2
ced5FuGDbf,  humming bird,1,boy,1,flamingo,2,statue of liberty,1,typewriter,2,fan,1,none,0,piano,1,duck,2,none,0,none,0,turkey,1,bench,1,school bus,2,cat,2,bear,1,football player,1,none,0,beetle,1,red truck,1,girl and a swing set,3,car,1,rooster,1,none,0,lemon,2,cat,2,none,0,boat,2,bug,1,"car, fence",3
