,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,
lnHNE1gtUY,chicken  ,1,boy,1,flamingo,2,statue of liberty,1,keyboard,1,fan,1,lizard,2,piano,1,duck,2,elephant,1,mug,1,forest,2,bench,1,bus,2,dog,2,matches,2,football player,1,monkey,2,bug,1,car,0,swing,2,car,1,rooster,1,,0,,0,frog,2,rabbit,0,dog,0,bug,1,car,2
FkQ8CQsC6G,cat in front of a clock  ,3,boy on a mountainside wearing a blue jacket eating something in a yellow container,1,reddish and white crab/spider leg,1,statue of liberty print,1,antique typewriter,2,old metal fan,1,rock,2,black grand piano,1,mallard duck on the edge of a creek/river by a tressel,2,none,0,a mug with beer,1,a black rooster,1,a wooden park bench with metal arms and legs in front of some shrubs,1,a school bus in front of trees,2,none,0,a brown bear with bars in front of him,3,a football player with a helmet on,1,none,0,a flying insect,1,an red antique chevy pickup truck,1,a wooden swingset,2,,0,a multicolored rooster,1,none,0,top view of a cup of coffee in a white coffee cup and saucer,1,a yellow cat,2,a bamboo hut,2,none,0,an ant,1,an old convertible chevy barracuda with a black stripe down the hood,3
3PH81U1jiF,bird  ,1,kid,1,bird,2,statue of liberty,1,typewriter,2,wheel,1,none,0,piano,1,duck,2,iron,2,mug,1,cock,1,none,0,bus,2,none,0,bear,1,football player,1,none,0,bug,1,car,1,rocker,2,car,1,cock,1,none,0,mug,1,some animal,2,none,0,boat,2,bug,1,car,2
Pajvead0Xy, Bird,1,A boy,1,Turkey,2,Statue of Liberty,1,Piano,1,Spider Web,0,Motorcycle,1,None,0,Duck,2,None,0,None,0,Chicken,1,None,0,Bus,2,None,0,None,0,Football Player,1,None,0,Beetle,1,Car,1,None,0,Car,1,Chicken,1,None,0,Cup of coffee,1,None,0,None,0,Dress,1,None,0,Car,2
vgdYBs5pkv,bear,1,"Boy, gun",1,None,0,Statue,1,keyboard,1,Disc,0,None,0,None,0,Duck,2,None,0,Painting,0,None,0,Key,0,Bus,2,None,0,"cage, iron rod",3,man,1,None,0,None,0,Car,1,None,0,Car,1,Cock,1,Wheel,2,None,0,Rabbit,2,Hill,0,Skirt,1,keys,0,Car,2
eJI583n0Sz,CLOCK  ,2,BOY,1,PARACHUTE,1,STATUE OF LIBERTY,1,TYPEWRITER,2,FAN,1,SHARK,2,CANT TELL,0,DUCK,2,SHIRT,0,PITCHER,1,ROOSTER,1,BENCH,1,BUS,2,COAT,1,BEAR,1,FOOTBALL HELMET,1,NONE,0,BUG,1,CAR,1,SWINGSET,2,CAR,1,ROOSTER,1,SOCCERBALL,2,MUG,1,SQUIRREL,2,NONE,0,DRESS,1,BANJO,2,CAR,2
VteLl2y9Ss,bird  ,1,young boy,1,hot air balloon,1,statue of liberty,1,typewriter,2,fan,1,motorcycle,1,piano,1,duck,2,mouse,2,cup,1,rooster,1,bench,1,bus,2,purse and cheetah,3,none,0,football player,1,none,0,beetle,1,truck,1,swingset and infant,3,hamster and car,3,rooster,1,broccoli and soccer ball,3,orange slices,2,pancakes and raccoon,3,none,0,dress,1,beetle,1,car,2
CmQIRCnBvc,"  clock, eye",2,"child, hillside",1,"flamingo, hot air balloon",3,"statue of liberty, big ben",1,type writer,2,fan,1,dinosaur head,2,piano,1,"duck, washing machine",3,"iron, fish",2,mug,1,house,2,"bench, window frame",3,school bus,2,purse,1,"bear, chair",1,football player,1,monkey,2,bug,1,truck,1,"swing set, baby",3,car,1,rooster,1,bug,0,"tea cup, lemon",3,meercat,2,bird,0,"dress, boat",3,"bug, fan",1,"car, fence",3
BmOG5L87gp,"  bird
clock",3,"child
car",3,flamingo,2,statue,1,typewriter,2,fan,1,water,0,piano,1,duck,2,snake,0,grass,0,chicken,1,bench,1,school bus,2,nothing,0,fence,2,football player,1,nothing,0,beetle,1,truck,1,swing set,2,car,1,chicken,1,soccer ball,2,lemon ,2,raccoon,2,sand,2,boat,2,nothing,0,car,2
qUK5QQGJYO,  hummingbird,1,"child, popsicle",1,"flamingo, parachute",3,statue of liberty,1,typewriter,2,desk fan,1,snake,2,"piano, hourglass",3,duck,2,shoes,0,mug,1,rooster,1,"bench, frame",3,school bus,2,kitten,2,"bear, matchsticks",3,football player,1,,0,beetle,1,car,1,"swingset, child",3,car,1,rooster,1,broccoli,1,honey,1,lemur,2,tiki shed,2,"dress, sailboat",3,gun,0,"car, fence",3
QoiOdEARtz,bird  ,1,boy,1,bird,2,statue,1,typewriter,2,fan,1,bike,1,piano,1,bird,2,blue circle,0,vase,1,bird,1,bench,1,bus,2,animal,2,wood,2,football player,1,snake,2,bug,1,car,1,metal,0,car,1,bird,1,metal,0,orange,2,burger,1,plant,1,dress,1,bug,1,car,2
