,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,
vdZ4ZSMJYj,coin  ,0,truck,2,crane,2,guitar,2,None,0,piano,0,snake,0,None,0,duck,2,frog,0,elephant,2,house,2,frame,2,bus,2,None,0,None,0,bird,0,chimpanzee,2,None,0,lobster,0,None,0,hamster,2,bowl,0,football,2,orange,2,kangaroo,2,hill,2,boat,2,bird,0,car,2
mHzPC20JJZ,Closeup of eye?  ,0,RV,2,None,0,Blue violin,2,Chocolate bar,0,Tea bag,0,None,0,Fish,0,Duck,2,Shoe with strap,0,Horse,2,Roof,2,Picture frame,2,None,0,None,0,None,0,None,0,Seal,2,Pink rock,0,Blanket,0,None,0,Animal head,2,Circle,2,Snake,0,Chicks,0,Raccoon,2,None,0,None,0,Shark,0,Car,2
5hSxjiVbPE,clock  ,2,truck,2,flamingo,2,violin,2,typewriter,2,knob,0,shark,2,hourglass,2,duck,2,helmet,0,horses,2,shed,2,frame,2,bus,2,water,0,matches,2,face,0,monkey,2,trees,0,bathtub,2,swingset,2,hamster,2,bell,2,clock,0,orange,2,lemur,2,bird,0,sailboat,2,plane,2,car,2
i9Lnb3Y3ag,watch  ,2,18 wheeler truck,2,Flamingo,2,Violin and bow,2,cables,0,mushroom,0,shark,2,hourglass ,2,duck,2,bird,0,horse,2,farm house,2,picture frame,2,school bus,2,cloud,0,frog,0,mushroom,2,racoon,2,bird,0,letter,0,tree,0,hamster,2,cup of coffee,0,hair dryer,0,pineapple slices in a glass,2,kangaroo,2,fish,0,forest,0,plane,2,car,2
9KBNZU4HyO,"  NONE
",0,TRUCK ON HIGHWAY,2,GOOSE,2,GUITAR,2,NONE,0,TOWEL,0,FISH EYE,2,HOUR GLASS,2,CANADA GOOSE,0,NONE,0,Rhinoceros,2,TENT OR HOUSE,2,FRAME,2,BUS OR TRUCK,2,NONE,0,NONE,0,MUSHROOM,2,MONKEY,2,ABSTRACT ART,0,NONE,0,NONE,0,RAT,2,BELL,2,FOOTBALL ,2,ORANGE FRUIT,2,MONGOOSE,2,FOREST,2,NONE,0,AEROPLANE,2,CAR,2
WEWHX7FVzk,none  ,0,truck,2,flamingo,2,violin,2,none,0,none,0,none,0,hourglass,2,duck,2,none,0,none,0,house,2,window,2,bus,2,none,0,none,0,none,0,none,0,none,0,none,0,none,0,hamster,2,none,0,soccer ball,2,none,0,kangaroo,2,mountain,2,none,0,airplane,2,car,2
JR4dTWdrSv,  coin,0,truck,2,bird,2,violin,2,none,0,hat,0,shark,2,wine glass,2,duck,2,frog,0,horse,2,house,2,picture frame,2,bridge,0,none,0,none,0,mushroom,2,monkey,2,none,0,none,0,none,0,beaver,2,bell,2,soccer ball,2,lemon slice,2,kangaroo,2,none,0,sail boat,2,jet,2,car,2
5NBGYfSkAZ,  painting,0,truck,2,flamingo,2,violin,2,none,0,none,0,frog,0,hourglass,2,duck,2,purse,0,horse,2,house,2,tv,2,school bus,2,none,0,chair,0,mushroom,2,monkey,2,none,0,guitar,0,swing set,2,guinea pig,2,plate,0,soccer ball,2,lemon,2,racoon,2,mountain,2,sailboat,2,airplane,2,car,2
F0G5BgpXKB,none  ,0,semi truck,2,flamingo,2,violin,2,none,0,whistle,2,shark,2,none,0,duck,2,none,0,horse,2,none,0,none,0,none,0,none,0,none,0,none,0,monkey,2,none,0,none,0,none,0,gerbil,2,top,0,none,0,orange,2,dog,2,mountain,2,none,0,plane,2,car,2
RMLfXhHZ2X,clock  ,2,semi truck,2,flamingo,2,cello,2,na,0,nothing,0,nothing,0,nothing,0,duck,2,frog,0,horse,2,house,2,window,2,nothing,0,nothing,0,nothing,0,mushroom,2,baboon ,2,nothing,0,didnt see it,0,nothing,0,ferrett,2,nothing,0,nothing,0,nothing,0,kangaroo,2, cat,0,nothing,0,nothing,0,nothing,0
